RD_ID,Road,Junction_ID,Latitude,Longitude,Alley
1,Lat Phrao,,13.81354,100.56029, Lat Phrao Start
,,1,13.81226,100.56266, Lat Phrao1
,,2,13.81147,100.56375, Lat Phrao6
,,3,13.81157,100.56395, Lat Phrao3
,,4,13.81098,100.56469, Lat Phrao8
,,5,13.81041,100.56608, Lat Phrao5
,,6,13.80989,100.56664, Lat Phrao10
,,7,13.80971,100.5673, Lat Phrao7
,,8,13.80831,100.56945, Lat Phrao16
,,9,13.80793,100.5705, Lat Phrao15
,,10,13.80767,100.57059, Lat Phrao20
,,11,13.80691,100.5724, Lat Phrao17
,,12,13.80624,100.57312, Lat Phrao26
,,13,13.8055,100.57479,Ratchada - Lat Phrao Intersection
,,14,13.80516,100.57508,Ratchada - Lat Phrao Intersection
,,15,13.80391,100.57768, Lat Phrao25
,,16,13.80357,100.5779, Lat Phrao36
,,17,13.80294,100.57946, Lat Phrao31
,,18,13.80188,100.58089, Lat Phrao42
,,19,13.80167,100.58169, Lat Phrao35/1
,,20,13.80007,100.58413, Lat Phrao46
,,21,13.79994,100.58473, Lat Phrao41/1
,,22,13.79828,100.58734, Lat Phrao48
,,23,13.79815,100.58797, Lat Phrao43/2
,,24,13.79672,100.59015, Lat Phrao48/1
,,25,13.79676,100.59054, Lat Phrao47
,,26,13.79592,100.59157, Lat Phrao52
,,27,13.79595,100.59191, Lat Phrao51
,,28,13.79473,100.59368, Lat Phrao56
,,29,13.79442,100.59463, Lat Phrao53/1
,,30,13.79349,100.59596, Lat Phrao60
,,31,13.79324,100.59673, Lat Phrao55/2
,,32,13.79257,100.59755, Lat Phrao62
,,33,13.79236,100.59833, Lat Phrao61
,,34,13.79138,100.5997, Lat Phrao64
,,35,13.79049,100.60168, Lat Phrao63
,,36,13.78956,100.60297, Lat Phrao72
,,37,13.78942,100.60355, Lat Phrao67
,,38,13.78882,100.60426, Lat Phrao76
,,39,13.78808,100.60598, Lat Phrao67/2
,,40,13.78781,100.60623, Lat Phrao80/2
,,41,13.78751,100.60702, Lat Phrao69
,,42,13.78688,100.60776, Lat Phrao84
,,43,13.78668,100.60852,Lardphrao86 Junction
,,44,13.78584,100.60963, Lat Phrao88/1
,,45,13.78569,100.61027, Lat Phrao79
,,46,13.78493,100.61135, Lat Phrao92/1
,,47,13.78417,100.61302, Lat Phrao83
,,48,13.78396,100.61307, Lat Phrao98/1
,,49,13.78162,100.61751, Lat Phrao87
,,50,13.78108,100.61815, Lat Phrao112
,,51,13.78066,100.61932, Lat Phrao89
,,52,13.78009,100.61993, Lat Phrao114
,,53,13.77958,100.62117, Lat Phrao93/1
,,54,13.7791,100.62172, Lat Phrao118
,,55,13.77878,100.62268, Lat Phrao95
,,56,13.77771,100.62421, Lat Phrao122
,,57,13.77752,100.62485, Lat Phrao97
,,58,13.77606,100.62719, Lat Phrao126
,,59,13.77509,100.62919, Lat Phrao101
,,60,13.77475,100.6295, Lat Phrao128/2
,,61,13.77404,100.63113, Lat Phrao101/2
,,62,13.77384,100.63116, Lat Phrao128/4
,,63,13.77272,100.63342, Lat Phrao103
,,64,13.77164,100.63504, Lat Phrao132
,,65,13.77145,100.63569, Lat Phrao111
,,66,13.77099,100.63617, Lat Phrao134
,,67,13.76994,100.63837, Lat Phrao111/1
,,68,13.76956,100.63875, Lat Phrao142
,,69,13.76866,100.64077, Lat Phrao115
,,70,13.7679,100.64158, The Mall Bangkapi
,,71,13.76802,100.6419, Happy Land Sai 1 Rd
,,,13.7672,100.64295, Lat Phrao End
